fileno,observation,ucl_alpha_0.01,ucl_alpha_0.02,ucl_alpha_0.12000000000000001,ucl_alpha_0.22,ucl_alpha_0.32000000000000006,ucl_alpha_0.42000000000000004,ucl_alpha_0.52,ucl_alpha_0.6200000000000001,ucl_alpha_0.7200000000000001,ucl_alpha_0.8200000000000001,ucl_alpha_0.92,filename,test_younger,train_younger,difference
14530,132.2491079052361,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,596.6585247947831,14530_AudreyHepburn_24_f.jpg,1,1,1
14531,127.69327849552042,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,14531_AudreyHepburn_24_f.jpg,1,1,1
14531,127.69327849552042,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,904.9929289577914,14531_AudreyHepburn_24_f.jpg,1,1,1
14534,133.02951592723048,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,14534_AudreyHepburn_25_f.jpg,1,1,1
14534,133.02951592723048,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,332.67196495489674,14534_AudreyHepburn_25_f.jpg,1,1,1
14537,126.44894587814133,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,14537_AudreyHepburn_32_f.jpg,1,1,1
14537,126.44894587814133,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,2857.465686185923,14537_AudreyHepburn_32_f.jpg,1,1,1
14551,167.5696520489064,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,14551_AudreyHepburn_36_f.jpg,1,1,1
14551,167.5696520489064,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,454.72448253664436,14551_AudreyHepburn_36_f.jpg,1,1,1
15001,111.39912610072906,438.29487606164446,438.29487606164446,438.29487606164446,438.29487606164446,438.29487606164446,438.29487606164446,438.29487606164446,438.29487606164446,438.29487606164446,438.29487606164446,438.29487606164446,15001_AnnMiller_15_f.jpg,1,1,1
